,Text,Topic,Text Length,
13,"The king has 19 barons-vassals.Could it turn out that each vassal baronism has one, five or nine neighboring barriers?",1,131,
14,Can there be exactly 100 roads in a state in which three roads come out from each city?,1,93,
15,"John, having arrived from Disneyland, said that there are seven islands on the enchanted lake, from each of which one, three or five bridges leads.Is it true that at least one of these bridges necessarily goes to the shore of the lake?",1,228,
16,Prove that the number of people who have ever lived on Earth and made an odd number of handshakes is even.,1,100,
17,Is it possible to draw 9 segments on a plane so that each intersects with exactly three others?,1,96,
18,"Prove that the count, in which every two vertices are connected exactly one simple way, is a tree.",1,104,
19,Prove that in the tree every two peaks are connected exactly one simple way.,1,78,
20,"There are 30 people, some of them are familiar.To prove that the number of people with an odd number of acquaintances is one.",1,114,
21,25 cells were painted on a checkered sheet.Can each of them have an odd number of painted neighbors?,1,104,
22,"Can the degree of peaks in the column be equal:
 a) 8, 6, 5, 4, 4, 3, 2, 2?
 b) 7, 7, 6, 5, 4, 2, 2, 1?
 c) 6, 6, 6, 5, 5, 3, 2, 2?",1,140,
23,"In the column, each peak is blue or green.At the same time, each blue peak is associated with five blue and ten green, and each green - with nine blue and six green.Which peaks are more - blue or green?",1,213,
24,"In the column, three ribs come out of each peak.Can there be 1990 ribs in it?",1,79,
25,"Is it possible to draw this picture (see Fig.), Without tearing the pencil from paper and passing along each line once?",1,118,
26,"The country is called the five, if in it each city is connected by airline with exactly five other cities (there are no international flights).
 a) Draw a scheme of airline for a five -tier country from 10 cities.
 b) how many airlines in a five -tier country out of 50 cities?
 c) Can there be a fifth country in which exactly 46 airlines?",1,344,
27,Is it possible to connect seven phones with wires so that each phone is connected with exactly three?,1,98,
28,"Is it possible to place on a plane
 a) 4 points so that each of them is connected by segments with three others (without intersections)?
 b) 6 points and connect them with non -over -over -shock segments so that exactly 4 segments come out of each point?",1,247,
29,"Write out the numbers from 1 to 9 (each once) in a row so that every two in a row the numbers go to the two -digit number, divided by 7 or 13.",1,144,
30,"On the sides of a polygon, arrows are placed.
Prove that the number of peaks that includes two arrows is equal to the number of peaks from which two arrows come out.",1,170,
31,Prove that there is no polyhedron who would have exactly seven ribs.,1,81,
32,"a) a piece of wire 120 cm long is given. Is it possible, without breaking wires, to make a cube frame with a rib of 10 cm?
b) What is the smallest number of times to break the wire to still make the required frame?",1,210,
33,Prove that there is a peak in the tree from which exactly one rib comes out (such a peak is called hanging).,1,109,
34,"Prove that when you remove any rib of wood, it turns into an incoherent graph.",1,85,
35,To prove that the number of US states with an odd number of neighbors is one.,1,65,
36,"a) What is the minimum number of pieces of wire can we solder the cube frame?

b) What is the maximum length of a piece of wire can be cut out of this frame?(The length of the cube rib is 1 cm.)",1,185,
37,"The metro of the city of Uryupinsk consists of three lines and has at least two final stations and at least two transplants, and not one of the end stations is transparent.From each line to any of the rest, you can go in at least two places.Draw an example of such a metro scheme, if it is known that this can be done without tearing the pencil from paper and without spending the same segment twice.",1,424,
38,"The board has the shape of a cross, which is obtained if you throw out the corner cells from the square board of 4 × 4.
Is it possible to go around it with the course of a chess horse and return to the original field, having visited all fields exactly once?",1,209,
39,"Prove that the graph with n peaks, the degree of each of which is not less than N - 1/2, is bond.",1,83,
40,"In the distant kingdom, there is only one type of transport-a carpet.21 carpets are released from the capital, one of the city is from the city, and from all other cities - 20 each. Prove that from the capital you can fly to the far (possibly with transfers).",1,237,
41,"Is it true that two counts are isomorphic if
 a) they have 10 peaks, the degree of each of which is 9?
 b) they have 8 peaks, the degree of each of which is 3?
 c) they are connected, without cycles and contain 6 ribs each?",1,219,
42,"On the plane is given 100 circles that make up a coherent (that is, not decaying into parts) figure.
Prove that this figure can be drawn without tearing off the pencil from paper and without drawing the same line twice.",1,216,
43,"Each of the ribs of the full graph with 6 peaks is painted in one of two colors.
Prove that there are three peaks, all the ribs between which are the same color.",1,150,
44,"In some country there is a capital and another 100 cities.Some cities (including the capital) are connected by one -way road roads.20 roads come out of each non -cell city, and 21 roads are included in each such city.Prove that you can’t get from a single city to the capital.",1,289,
45,Prove that on the ribs of the coherent graph you can arrange the arrows so that from some peak you can get to the arrows to any other.,1,145,
46,"In some country, 89 roads come out of the capital, one road from the city of Dalniy, from the remaining 1988 cities - 20 roads each.
To prove that from the capital you can drive to Dalniy.",1,181,
47,"In column 100 peaks, and the degree of each of them is not less than 50. To prove that the count is bond.",1,89,
48,"The facets of some multi -soda are painted in two colors so that neighboring faces have different colors.It is known that all faces, except one, have the number of ribs, multiple 3. to prove that this one line has a multiple of the 3rd Ryber.",1,227,
49,"a) In a group of four people speaking different languages, any three can communicate (perhaps one translates the other).
To prove that they can be divided into pairs, in each of which there is a common language.
b) the same for a group of 100 people.
c) the same for a group of 102 people.",1,284,
50,"There are 57 villages in the Zaitilshchina, between some of which roads are laid.It is known that from each village you can get into any other, moreover, along a single route.
 a) Prove that there is a village from which only one road comes out.
 b) How many roads are in the Zaitilshchina?",1,283,
51,"In the company, every two people have exactly five common acquaintances.Prove that the number of pairs of acquaintances is divided by 3.",1,110,
52,"In the corners of the 3 × 3 chessboard there are four horses: two white (in neighboring corners) and two black.
Is it possible to put horses in a few moves so that horses of various colors stand in all neighboring corners?",1,200,
53,Six points are given on the plane so that no three of them lie on one straight line.Each pair of points is connected by a piece of blue or red.Prove that among these points you can choose such three that all sides of the triangle they form will be painted in one color.,1,281,
54,"Put in five circles natural numbers so that two conditions are fulfilled:
 - if the two circles are connected by the line, then the numbers standing in them should differ exactly two or exactly four times;
 - If the two circles are not connected by the line, then the ratio of the numbers in them should not be equal to 2 or 4.",1,303,
55,"A segment OA is given.5 segments AB1, AB2, AB3, AB4, AB5 come out of the end of the segment A.Five new segments or a single new segment, etc. can come out of each point BI.Can the number of free ends of the constructed segments equal 1001?By the free end of the segment we understand the point belonging to only one segment (except for point O).",1,340,
56,"n points are connected by segments so that each point is connected with something and there are no two points that would be connected in two different ways.
Prove that the total number of segments is N - 1.",1,192,
57,"The system of points connected by segments is called ""coherent"" if from each point you can go to any other from these segments.Is it possible to connect five points into a coherent system so that when erasing any segment, exactly two coherent systems of points that are not related to each other are formed?(We believe that in places of intersection of segments the transition from one of them to another is impossible.)",1,382,
58,"How to connect 50 cities with the lowest number of airlines so that from each
Cities could you get to anyone, making no more than two transfers?",1,143,
59,"In a company of seven boys, everyone has at least three brothers among the rest.Prove that all seven are brothers.",1,117,
60,"During the chess tournament, several players played an odd number of parties.Prove that the number of such players is one.",1,124,
61,"The schoolboy told his friend Vita Ivanov:
 - We have thirty -five people in the class.And imagine, each of them is friends with exactly eleven classmates ...
 “It cannot be,” Vitya Ivanov, winner immediately answered
Mathematical Olympiad.
  Why did he decide so?",1,290,
62,"The resident of one foreign intelligence reported to the Center for the preparatory signing of a number of bilateral agreements between fifteen former republics of the USSR.
According to his report, each of them will conclude an agreement with exactly three others.Does the resident deserve confidence?",1,265,
63,"A family of 24 mice lives in the mink.Every night exactly four of them go to the warehouse for cheese.
Could it happen that at some point in time, each mouse visited the warehouse with each exactly once?",1,218,
64,"In the country, 100 roads come out of each city and from each city you can get to any other.One road was closed for repairs.
Prove that even now from each city you can get to any other.",1,207,
65,"Prove that there is a graph with 2N peaks, the degree of which are 1, 1, 2, 2, ..., n, n.",1,91,
66,"In the column, all peaks have a degree 3. Prove that it has a cycle.",1,68,
67,"In the country, Drevlyandia is 101 city, and some of them are connected by roads.At the same time, every two cities connects exactly one path.
How many roads are in this country?",1,155,
68,"In the country, the lake seven lakes interconnected by ten non -overstraining channels, and you can swim from each lake to any other.How many islands are there in this country?",1,177,
69,"Prove that for a flat graph, the inequality is 2e ≥ 3f.",1,67,
70,"There are 50 scientists at the conference, each of which is familiar with at least 25 participants in the conference.
Prove that there will be four of them, who can be seated at a round table so that everyone sits next to people familiar to him.",1,243,
71,"Dima painted seven graphs on the board, each of which is a tree with six peaks.Prove that there are two isomorphic among them.",1,137,
72,"Some two teams scored the same number of points in a circular volleyball tournament.
Prove that there will be such teams A, B and C, that I won at B, won with C, and with A. I won with A.",1,188,
73,"A unilateral traffic has been introduced in the country on all roads, and you can get to any other from each city, having passed on no more than two roads.One road was closed for repair so that from each city you can still get to any other.Prove that for every two cities this can be done by driving no more than three roads.",1,362,
74,"In the circle, each member has one friend and one enemy.Prove that
 a) the number of members is even.
 b) the circle can be divided into two neutral mugs.",1,156,
75,98 ribs were thrown out of the full 100-veil graph.To prove that he remained connected.,1,84,
76,"In the country, every two cities are connected by one -way road.
To prove that there is a city from which you can travel to any other on no more than two roads.",1,178,
77,"To prove that in the double -bottomed graph E ≥ 2F, if E ≥ 2 (E is the number of ribs, F is the number of areas).",1,103,
78,"12 teams played volleyball tournament in one circle.Two teams won exactly 7 victories.
To prove that there are such teams A, B, C, that and won at B, won with C, and s - A.",1,185,
79,"In the country N cities.Between each two cities, one of two airlines was installed.Prove that of these two airlines, at least one such that from any city you can get in any other flights of this airline.",1,254,
80,"In the secret service, n agents work - 001, 002, ..., 007, ..., n.The first agent monitors who follow the second, the second-the one who monitors the third, etc., N-th-for those who follow the first.Prove that n is an odd number.",1,235,
81,"There are several cities in the country (more than one);Some couples of cities are connected by roads.It is known that from each city you can get to any other, passing along several roads.In addition, roads do not form cycles, that is, if you leave some city along some road and then move so as not to go along one road twice, it is impossible to return to the initial city.Prove that in this country there will be at least two cities, each of which is connected by expensive with one city.",1,507,
82,"In the communication system, consisting of 2001 subscribers, each subscriber is associated exactly with n others.Determine all possible values n.",1,125,
83,"There are 20 students in the class, and everyone is friends at least with others.
Is it possible to say that there are four students who are all friends with each other?",1,154,
84,"In the company of 10 people, 14 pawn quarrels occurred.Prove that you can still make a company of three friends.",1,118,
85,"The company from several friends made correspondence so that everyone received each letter except the sender.Everyone wrote the same number of letters, as a result of which all together 440 letters were received.How many people could be in this company?",1,246,
86,"In the country of Leonardia, all roads are with one -way traffic.Each road connects two cities and does not pass through other cities.The Department of Statistics calculated for each city the total number of residents in the cities from where roads lead to it, and the total number of residents in the cities where roads from it lead.Prove that at least for one city the first number turned out to be at least the second.",1,388,
87,"In a company of six people, any five can sit at a round table so that every two neighbors will be familiar.
Prove that the whole company can be seated at a round table so that every two neighbors will be familiar.",1,221,
88,"In the country, some couples of cities are connected by one -sided straight flights (there are no more than one flight between any two cities).Let's say that the city A is available for the city B if you can get to A of B, possibly with transfers.It is known that for any two cities P and Q, there is a city R for which both P and Q are available.Prove that there is a city for which all cities of the country are available.(It is believed that the city is available for itself.)",1,443,
89,"Is it possible to spend 10 bus routes in the city and install on them
The stops are so that no matter what 8 routes are taken, there is a stop not lying on any of them, and any 9 routes pass through all stops.",1,229,
90,"There are two countries: ordinary and behind the grinder.Every city in
An ordinary country is a ""double"" in the after -mirror, and vice versa.However, if in a regular country some two cities are connected by rail, then in the behind the world these cities are not connected, and every two city incomprehensible in a regular country are necessarily connected by rail in Zlavrakal.In an ordinary country, girl Alice cannot drive from city a to city B, making less than two transfers.To prove that Alice in Zadslavl will be able to drive from any city to any other, making no more than two transfers.",1,555,
91,"Several chips of two colors are located in a row (both colors are found).It is known that the chips, between which 10 or 15 chips are the same.
What is the largest number of chips?",1,178,
92,"The notebook leaf was painted in 23 colors in cells.A pair of colors is called
Good if there are two neighboring cells, painted with these colors.What is the minimum number of good couples?",1,184,
93,"25 boys and several girls gathered at a party and found a funny pattern.If you choose any group of at least 10 boys, and then add to them all the girls who are familiar with at least one of these boys, then in the resulting group the number of boys will be 1 less than the number of girls.
Prove that some girl is familiar with at least 16 boys.",1,385,
94,"In some state, the airline system is arranged in such a way that each city is connected by airline with no more than three others, and from each city you can get into any other, making no more than one transplant.What is the largest number of cities in this state?",1,284,
95,"In the coherent column, the degree of four peaks are 3, and the degrees of other peaks are 4.
Prove that you can not remove the rib so that the graph breaks into two isomorphic components of the connectedness.",1,186,
96,"Prove that the coherent graph, which has the number of ribs per unit less than the number of vertices, is a tree.",1,101,
97,The volleyball mesh has the form of a rectangle of 50 × 600 cells.What is the largest number of rope can be cut so that the mesh does not break into pieces?,1,158,
98,20 points were marked in the square and connected them with non -overturning segments with each other and with the tops of the square so that the square broke into triangles.How many triangles got?,1,186,
99,"Prove that for a flat connected graph, the inequality is E ≤ 3V - 6.",1,78,
100,"Prove that for any flat count (including incoherent), the inequality is E ≤ 3V - 6.",1,103,
101,"Prove that the count, which has five peaks, each of which is connected by an edge to all the others, is not flat.",1,118,
102,"Is it possible to build three houses, dig three wells and connect each house with the paths with each well so that the paths do not intersect?",1,137,
103,"Prove that the graph, which has 10 peaks, the degree of each of which is 5 is not flat.",1,88,
104,"Is it possible to draw up a grille shown in the figure
 a) of five broken lengths 8?
 b) of eight broken lengths 5?
(The length of the side of the cell is 1.)",1,154,
105,"Each of 102 students of one school is familiar with at least 68 others.
Prove that among them there are four who have the same number of acquaintances.",1,147,
106,"The distance between the two arbitrary peaks of the tree will be called the length of the simple path connecting them.The removal of the top of the tree will call the sum of the distance from it to all other peaks.Prove that in a tree that has two peaks with remotes that differ in 1, an odd number of vertices.",1,305,
107,"In some country, each city is connected with each road with one -way traffic.
Prove that there is a city from which you can get to any other.",1,160,
108,"20 teams played a circular volleyball tournament.
Prove that the commands can be technically named with numbers from 1 to 20 so that the 1st team won the 2nd, 2nd-the 3rd, ..., 19th-at the 20th.",1,179,
109,"There is a volleyball mesh of 5 × 10.What is the maximum number of ropes, its components, can be cut so that it does not break up?",1,129,
110,"12 chess players played a tournament in one circle.Then each of them wrote 12 lists.In the first, only he, in (k+1) -m-those who were in the K-M and those from whom they won.It turned out that each chess player has a 12th list differs from the 11th.
How many draws were there?",1,252,
111,Find the largest number of colors in which you can paint the cube ribs (each rib in one color) so that for each pair of flowers there are two neighboring ribs painted in these colors.Rybras having a common peak are considered neighboring.,1,234,
112,"Among n knights every two are either friends or enemies.Each of the knights has exactly three enemies, and the enemies of his friends are his enemies.
At what n is this possible?",1,168,
113,"40 people are sitting at the round table.Could it happen that every two of them, between whom a certain number of people sits, has a common acquaintance at the table, and every two, between whom an odd number of people sits, there is no common acquaintance?",1,240,
114,"Among 49 schoolchildren, each sign with at least 25 others.
Prove that you can divide them into groups of two or three people so that everyone is familiar with everyone in their group.",1,183,
115,"The city has one blue square and n green, and each green area is connected by streets with blue and two green, as shown in the figure.On each of the 2n streets, one -sided movement was introduced so that you can drive for each area and leave with each.Prove that from each area of this city you can, without violating the rules, get to any of the others.",1,359,
116,"A closed non -amatery closed on an endless chessboard
Breeding, passing on the sides of the cells.Inside the broken was K black
cells.What is the largest area that a figure limited to this broken?",1,229,
117,"There are 21 points on the circle.
Prove that among the arcs having these points there are at least a hundred
Such, the corner measure of which does not exceed 120 °.",1,157,
118,"Petya noticed that all of his 25 classmates have a different number of friends in this
class.How many friends do Peti have?",1,109,
119,"Several guests are sitting at the round table.Some of them are familiar between
yourself;Acquaintance is mutual.All the acquaintances of each guest (considering him himself)
They sit around the table at equal intervals.(For another person, these intervals may be different.) It is known that every two have at least one common acquaintance.Prove that all guests are familiar with each other.",1,365,
120,"Petya has only 28 classmates.Each two out of 28 has a different number of friends in
this class.How many friends do Peti have?",1,114,
121,"Grandfather Baron K.F.I.Von Munchausen built a square castle, divided it into 9 square halls and placed arsenal in central.The father of the baron divided each of the eight remaining halls into 9 equal square halls and arranged winter gardens in all central halls.The Baron itself divided each of the 64 free halls into 9 equal square rooms and in each of the central rooms arranged a pool, and made the rest with residential.The baron boasts that he managed to get around all the living rooms, having visited each once, and return to the original (in each wall between the two neighboring living rooms a door was made).Can the words of the baron be true?",1,647,
122,"In the company of 2N + 1 person for any n person there is a great person who is familiar with each of them.
Prove that this company has a person who knows everyone.",1,171,
123,"In some city, exactly three streets converge at each intersection.The streets are painted in three colors so that at each intersection the streets of three different colors converge.Three roads come out of the city.Prove that they have different colors.",1,230,
124,"The country has 2000 cities.Each city is connected by non -stop bilateral airlines with some other cities, and for each city the number of airlines emerging from it is the degree of deuce (that is, 1, 2, 4, 8, ...).For each city, A statistics calculated the number of routes that have no more than one transplant connecting A with other cities, and then prompted the results in all 2000 cities.He got 100,000. Prove that the statistics were mistaken.",1,477,
125,"The checkered rectangular mesh m × n is associated with a single length rope.Two make the moves in turn.During one move, you can cut (in the middle) that is not previously cut a single rope.If there are not a single
a closed rope circuit, the player who made the last move is considered
loser.Which of the players will win with the right game and how should he play for this?",1,381,
126,"15 boys and 15 girls are studying in the class.On March 8, some boys called some girls and congratulated them on the holiday (no boy called the same girl twice).It turned out that the children can only be divided into 15 pairs so that in every pair the boy and the girl he called.What is the largest number of calls?",1,385,
127,Prove that in any coherent column you can remove the top along with all the ribs emerging from it so that it remains liaison.,1,131,
128,"There are 100 cities in the country, some of which are connected by airline.It is known that from each city you can reach any other (possibly with transfers).
Prove that you can visit all cities, having made no more than a) 198 pereprets;b) 196 flights.",1,262,
129,Prove that in a flat graph there is a peak whose degree does not exceed 5.,1,78,
130,"Each rib of a full graph with 11 peaks is painted in one of two colors: red or blue.
Prove that either “red” or “blue” count is not flat.",1,164,
131,"In some country, every two cities are connected either by air or railway.Prove that
 a) you can choose the type of transport so that from each city you can get to any other, using only this mode of transport;
 b) from a certain city, having chosen one of the modes of transport, you can get to any other city with no more than one transplant (you can use only the selected mode of transport);
 c) each city has a property from point B);
 d) you can choose the type of transport so that using only it, you can get from each city to any other with no more than two transfers.",1,653,
132,"Each of the ribs of the full graph with 17 peaks is painted in one of three colors.Prove that there are three peaks, all the ribs between which are the same color.",1,151,
133,"In one state, 100 cities and each is connected with each road with one -sided movement.Prove that you can change the direction of movement on no more than one road so that from each city you can get to any other.",1,239,
134,"a) Each city is connected to each of the other roads with one -way traffic, and 50 roads enter each city and 50 roads come out of each city.Prove that from each city you can get to any other by driving by no more than two roads.",1,258,
135,"b) Some cities are connected by one -way roads, and 40 roads enter each city and 40 roads come out of each city.Prove that from each city you can get to any other by driving no more than three roads.",1,247,
136,"To prove that from each peak you can get into any other, having passed by no more than three ribs.",1,99,
137,"On the plane there are 100 points, no three of which lie on one straight line.Some pairs of points are connected by segments.It is known that no three segments forms a triangle.What is the largest number of segments could be drawn?",1,242,
138,"There are 200 deputies in parliament.In the process of the meeting, 200 brawls occurred, in each of which some two deputies participated.
Prove that 67 deputies can be combined into the commission, of which no two found out relations in the brawl among themselves.",1,258,
139,"Several points are drawn on the plane, some pairs of points are connected by segments.It is known that no more than K segments comes out of each point.Prove that the points can be painted in K + 1 in such a way that every two points connected by the segment are painted in different colors.",1,285,
140,"N is given N points, no three of which lie on one straight line.Each two of these points are connected by a segment, and each segment is painted in one of K flowers.Prove that if n> [k! E], then among these points you can choose such three that all sides of the triangle formed by them will be painted in the same color.",1,307,
141,"Several white and several black dots are given.From each white point there is an arrow in each black one, a natural number is written on each arrow.It is known that if you go along any closed route, then the work of numbers on the arrows walking in the direction of movement is equal to the work of numbers on the arrows going against the direction of movement.Is it possible to put a natural number at each point so that the number on each arrow is equal to the product of numbers at its ends?",1,484,
142,"There were 100 judges at the figure cyclation competitions.Each judge streamlined all participants (from the best in his opinion - to the worst).It turned out that for no three participants a, b, C was not found
Three judges, one of whom believes that a is the best of the three, and B is the worst, the other is the best and the worst, and the third is the best, but the worst.Prove that you can make a general rating of participants so that for every two participants A and B the one who is higher in the ranking would be better than the other in the opinion of at least half of the judges.",1,535,
143,"a) there is 2n + 1 battery (n> 2).It is known that one more good among them than bad ones, but which batteries are good and which are bad are unknown.Two batteries are inserted into the flashlight, while it shines only if both are good.For what is the smallest number of such attempts to be guaranteed to ensure that the flashlight of the luminaries?",1,340,
144,"b) the same task, but batteries 2n (n> 2), and good and bad equally.",1,75,
145,"There are 64 cities in the country, some of them are connected by road, but we do not know which ones.You can choose any couple of cities and get the answer to the question “Is there a road between them?”.You need to find out whether it is possible in this country to get from any city to any other, moving along the roads.Prove that there is no algorithm that allows you to do this in less than 2016 questions.",1,379,
146,"The country has N> 1 cities, some couples of cities are connected by bilateral non -stop flights.At the same time, between each two cities there is the only aircraft machine (possibly with transfers).The mayor of each city X calculated the number of such numbering of all cities with numbers from 1 to N, which at any air machine, which begins in X, the numbers of cities are in the order of increasing.All mayors, except for one, noticed that their calculation results are divided by 2016. Prove that the remaining mayor is also divided into 2016.",1,533,
147,"Between some of the 2N cities, air communication was installed, and each city is connected (non -stop flights) with at least n others.
 a) Prove that if you cancel any N - 1 flights, then still from any city you can get to any other on airplanes (with transfers).
 b) Indicate all cases when connectivity is disturbed when canceling N flights.",1,366,
148,"There are several castles in the country of Mara.Three roads lead from each castle.
A knight left some castle.Wandering along the roads, he is from each castle,
standing in his path, turns either right or left in relation to
The road on which he arrived.The knight never turns in that direction, in
which he turned before that.To prove that someday he will return to the source castle.",1,399,
149,"In some state, the city is connected by roads.The length of each road is less than 500 km, and from each city you can get to any other by driving along the roads less than 500 km.When one road turned out to be closed for repairs, it turned out that from each city you can drive along the remaining roads to any other.To prove that at the same time you can drive less than 1,500 km.",1,359,
150,"In the country of 1988 cities and 4000 roads.
Prove that you can specify the ring route that passes no more than 20 cities (each road connects two cities).",1,165,
151,Prove that among 50 people there will be two who have a certain number of common acquaintances (perhaps 0) among the remaining 48 people.,1,128,
152,"In the spring round of the tournament of the cities of 2000, senior students of the country N were offered six tasks.Each problem was solved by exactly 1000 schoolchildren, but
No two schoolchildren solved all six tasks together.What is the smallest possible number of high school students of the country N who took part in the spring round?",1,298,
153,"On the table are several thin matches of the same length.Is it always possible to paint their ends a) in 2, b) in 3 colors so that the two ends of each match are different colors, and each two related ends (different matches) - the same color?",1,244,
154,"In the country there are military bases connected by roads.Road set is called
It is important if, after the closure of these roads, there are two bases not connected.An important set is called strategic if it does not contain
less important set.Prove that there are many roads, each of which
belongs exactly one of two different strategic sets, forms
An important set.",1,387,
155,"In the country 1993 cities, and at least 93 roads come out of each.It is known that from each city you can drive along the roads to any other.
Prove that this can be done no more than 62 transfers.(The road connects two cities among themselves.)",1,245,
156,"An inquisitive tourist wants to take a walk along the streets of the old city from the station (point A on plan) to his hotel (point B).The tourist wants his route to be as long as possible, but he is not interested in the same intersection twice, and he does not do that.Draw on the plan the longest possible route and prove that there is no longer.",1,355,
157,"The meeting came to a person (n> 1).It turned out that every two of them among the gathered have exactly two common acquaintances.
 a) Prove that each of them is familiar with the same number of people at this meeting.
 b) show that N can be more than 4.",1,255,
158,"The seven-Ugon is divided into convex five- and hexagons, and so that each of its peaks is the top of at least two polygons of breakdown.Prove that the number of pentagons of breakdown is not less than 13.",1,216,
159,"Is it possible to plant 2n + 1 person at a round table, so that no two sits nearby more than once if
 a) n = 5;b) n = 4;c) n - arbitrary natural number?",1,186,
160,"Each city in some country has an individual number.There is a list in which for each pair of numbers it is indicated whether cities are connected to these numbers by rail or not.It turned out that whatever two numbers M and N from the list can be taken from the list, that the city with number M will receive number N, but the list will still be correct.Is it true that whatever two numbers M and N from the list can be reserved for the cities so that the city with number M will receive number N, the city with number N will receive number M, but the list will still be true?",1,554,
161,"In the kingdom, some pairs of cities are connected by the railway.The king has a complete list in which all such couples are listed by name (each city has its own name).It turned out that for any ordered couple of cities, the prince can rename all the cities so that the first city is a named name for the Second City, and the king would not notice changes.Is it true that for any pair of cities, the prince can rename all the cities so that the first city is a named name of the second city, the second city is named after the first
Cities, and the king would not notice changes?",1,602,
162,"There are several resistances between clamps A and B.Each resistance has input and output clamps.What is the smallest number of resistances to have and what can be the diagram of their connection, so that when spoiling of any nine resistances, the circuit remains connecting clamps A and B, but there is no short circuit?(Damage of resistance: short circuit or cliff.)",1,375,
163,Is it possible to plant nine people at four times at a round table so that no two are sitting nearby more than once?,1,123,
164,"Is it possible to plant 2n + 1 person at a round table so that no two sits nearby more than once, if a) n = 5;b) n = 10?",1,150,
165,"The coloring of the tops of the count is called correct if the vertices of the same color are not connected by the edge.A certain graph is correctly painted in Ks of flowers, and it cannot be correctly painted in a smaller number of colors.Prove that in this column there is a path along which the peaks of all Ks are found exactly one time.",1,318,
166,"In the country N cities.Between each two of them, either a road or a railway is laid.The tourist wants to go around the country, having visited each city exactly once, and return to the city from which he started a journey.Prove that a tourist can choose a city from which he will start a trip, and the route so that he will have to change the form of transport no more
Once.",1,381,
167,"In a city, a network of bus routes is arranged so that every two routes have exactly one common stop, and at least 4 stops on each route.Prove that all stops can be distributed between two companies so that on each route there are stops of both companies.",1,296,
168,"In Chicago, 36 criminal gangs are operating, some of which are at war together.Each gangster consists of several gangs, and every two gangsters are in different gang sets.It is known that not a single gangster is in two gangs that enmge with each other.In addition, it turned out that every gang, in which some gangster is not, is at war with some gang in which this gangster consists.What is the largest number of gangsters in Chicago?",1,470,
169,"36 gangsters live in Chicago, some of which are at war together.Each gangster consists of several gangs, and there are no two gangs with a coinciding composition.It turned out that the gangsters, which are in the same gang, did not enmity, but if the gangster is not in some gang, then it is at least enmity with at least one of its participant.What is the largest number of gangs in Chicago?",1,368,
170,"In the country 2001 a city, some couples of cities are connected by roads, and from
Each city comes out at least one road and there is no city connected by roads with all the others.We will call many cities D dominant if everyone is connected in a city with a road with one of the cities of many D. It is known that in every dominant number of at least k cities.Prove that the country can be divided into 2001 - K republics so that no two cities from one republic will be connected by road.",1,500,
171,"A tree with n peaks is given, n ≥ 2. In its vertices, the numbers X1, X2, XN are placed, and on each rib, the work of numbers standing at the ends of this rib is recorded.We denote through s the sum of the numbers on all ribs.Prove that",1,221,
172,"There are several cities in the country, some couples of cities are connected by bilateral nonsense airlines belonging to the kirls.It is known that every two lines of one airline have a common end.Prove that all cities can be divided into k + 2 groups so that no two cities from the same group are connected by airline.",1,332,
